Severity	Code	Description	Project	File	Line	Suppression State
Error (active)	E1696	cannot open source file "vcruntime.h"	cmsdll	C:\Program Files (x86)\Windows Kits\10\Include\10.0.18362.0\ucrt\corecrt.h	10	
Error (active)	E1696	cannot open source file "vcruntime_new_debug.h"	cmsdll	C:\Program Files (x86)\Windows Kits\10\Include\10.0.18362.0\ucrt\crtdbg.h	13	
Error (active)	E1696	cannot open source file "stdexcept"	cmsdll	C:\TFS\Denali\Code\Dev\_VC7DENALICLIENT\cmsdll\CMSCOMComponent.h	22	
Error (active)	E1696	cannot open source file "string"	cmsdll	C:\TFS\Denali\Code\Dev\_VC7DENALICLIENT\cmsdll\CMSCOMComponent.h	23	
Error (active)	E1696	cannot open source file "afxwin.h"	cmsdll	C:\TFS\Denali\Code\Dev\_VC7DENALICLIENT\cmsdll\StdAfx.h	34	
Error (active)	E1696	cannot open source file "afxext.h"	cmsdll	C:\TFS\Denali\Code\Dev\_VC7DENALICLIENT\cmsdll\StdAfx.h	35	
Error (active)	E1696	cannot open source file "afxole.h"	cmsdll	C:\TFS\Denali\Code\Dev\_VC7DENALICLIENT\cmsdll\StdAfx.h	38	
Error (active)	E1696	cannot open source file "afxodlgs.h"	cmsdll	C:\TFS\Denali\Code\Dev\_VC7DENALICLIENT\cmsdll\StdAfx.h	39	
Error (active)	E1696	cannot open source file "afxdisp.h"	cmsdll	C:\TFS\Denali\Code\Dev\_VC7DENALICLIENT\cmsdll\StdAfx.h	40	
Error (active)	E1696	cannot open source file "afxdtctl.h"	cmsdll	C:\TFS\Denali\Code\Dev\_VC7DENALICLIENT\cmsdll\StdAfx.h	43	
Error (active)	E1696	cannot open source file "afxcmn.h"	cmsdll	C:\TFS\Denali\Code\Dev\_VC7DENALICLIENT\cmsdll\StdAfx.h	45	
Error (active)	E1696	cannot open source file "AfxTempl.h"	cmsdll	C:\TFS\Denali\Code\Dev\_VC7DENALICLIENT\cmsdll\StdAfx.h	50	
Error (active)	E1696	cannot open source file "afxdhtml.h"	cmsdll	C:\TFS\Denali\Code\Dev\_VC7DENALICLIENT\cmsdll\StdAfx.h	52	
Error (active)	E1696	cannot open source file "afx.h"	cmsdll	C:\TFS\Denali\Code\Dev\_VC7DENALICLIENT\cmsdll\StdAfx.h	53	
Error (active)	E1696	cannot open source file "comdef.h"	cmsdll	C:\TFS\Denali\Code\Dev\_VC7DENALICLIENT\cmsdll\x64\Debug\msxml6.tlh	11	
Error (active)	E0077	this declaration has no storage class or type specifier	cmsdll	C:\Program Files (x86)\Windows Kits\10\Include\10.0.18362.0\ucrt\corecrt.h	12	
Error (active)	E0065	expected a ';'	cmsdll	C:\Program Files (x86)\Windows Kits\10\Include\10.0.18362.0\ucrt\corecrt.h	136	
Error (active)	E0145	variable "_invalid_parameter" may not be initialized	cmsdll	C:\Program Files (x86)\Windows Kits\10\Include\10.0.18362.0\ucrt\corecrt.h	269	
Error (active)	E0020	identifier "_In_opt_z_" is undefined	cmsdll	C:\Program Files (x86)\Windows Kits\10\Include\10.0.18362.0\ucrt\corecrt.h	270	
Error (active)	E0018	expected a ')'	cmsdll	C:\Program Files (x86)\Windows Kits\10\Include\10.0.18362.0\ucrt\corecrt.h	270	
Error (active)	E1835	attribute "noreturn" does not apply here	cmsdll	C:\Program Files (x86)\Windows Kits\10\Include\10.0.18362.0\ucrt\corecrt.h	281	
Error (active)	E0145	variable "_invoke_watson" may not be initialized	cmsdll	C:\Program Files (x86)\Windows Kits\10\Include\10.0.18362.0\ucrt\corecrt.h	282	
Error (active)	E0020	identifier "_In_opt_z_" is undefined	cmsdll	C:\Program Files (x86)\Windows Kits\10\Include\10.0.18362.0\ucrt\corecrt.h	283	
Error (active)	E0018	expected a ')'	cmsdll	C:\Program Files (x86)\Windows Kits\10\Include\10.0.18362.0\ucrt\corecrt.h	283	
Error (active)	E0020	identifier "_CRT_END_C_HEADER" is undefined	cmsdll	C:\Program Files (x86)\Windows Kits\10\Include\10.0.18362.0\ucrt\corecrt.h	2011	
Error (active)	E0065	expected a ';'	cmsdll	C:\Program Files (x86)\Windows Kits\10\Include\10.0.18362.0\ucrt\crtdbg.h	19	
Error (active)	E0018	expected a ')'	cmsdll	C:\Program Files (x86)\Windows Kits\10\Include\10.0.18362.0\ucrt\crtdbg.h	45	
Error (active)	E0018	expected a ')'	cmsdll	C:\Program Files (x86)\Windows Kits\10\Include\10.0.18362.0\ucrt\crtdbg.h	46	
Error (active)	E0018	expected a ')'	cmsdll	C:\Program Files (x86)\Windows Kits\10\Include\10.0.18362.0\ucrt\crtdbg.h	52	
Error (active)	E0018	expected a ')'	cmsdll	C:\Program Files (x86)\Windows Kits\10\Include\10.0.18362.0\ucrt\crtdbg.h	108	
Error (active)	E0020	identifier "_CRT_ALLOC_HOOK" is undefined	cmsdll	C:\Program Files (x86)\Windows Kits\10\Include\10.0.18362.0\ucrt\crtdbg.h	158	
Error (active)	E0020	identifier "_CRT_ALLOC_HOOK" is undefined	cmsdll	C:\Program Files (x86)\Windows Kits\10\Include\10.0.18362.0\ucrt\crtdbg.h	160	
Error (active)	E0020	identifier "_In_opt_" is undefined	cmsdll	C:\Program Files (x86)\Windows Kits\10\Include\10.0.18362.0\ucrt\crtdbg.h	161	
Error (active)	E0018	expected a ')'	cmsdll	C:\Program Files (x86)\Windows Kits\10\Include\10.0.18362.0\ucrt\crtdbg.h	161	
Error (active)	E0020	identifier "_CRT_DUMP_CLIENT" is undefined	cmsdll	C:\Program Files (x86)\Windows Kits\10\Include\10.0.18362.0\ucrt\crtdbg.h	164	
Error (active)	E0020	identifier "_CRT_DUMP_CLIENT" is undefined	cmsdll	C:\Program Files (x86)\Windows Kits\10\Include\10.0.18362.0\ucrt\crtdbg.h	166	
Error (active)	E0020	identifier "_In_opt_" is undefined	cmsdll	C:\Program Files (x86)\Windows Kits\10\Include\10.0.18362.0\ucrt\crtdbg.h	167	
Error (active)	E0018	expected a ')'	cmsdll	C:\Program Files (x86)\Windows Kits\10\Include\10.0.18362.0\ucrt\crtdbg.h	167	
Error (active)	E0020	identifier "_In_" is undefined	cmsdll	C:\Program Files (x86)\Windows Kits\10\Include\10.0.18362.0\ucrt\crtdbg.h	177	
Error (active)	E0018	expected a ')'	cmsdll	C:\Program Files (x86)\Windows Kits\10\Include\10.0.18362.0\ucrt\crtdbg.h	177	
Error (active)	E0145	variable "_CrtIsMemoryBlock" may not be initialized	cmsdll	C:\Program Files (x86)\Windows Kits\10\Include\10.0.18362.0\ucrt\crtdbg.h	183	
