=============  Error  =====================
Severity	Code	Description	Project	File	Line	Suppression State
Error	BC42372	Referenced assembly 'System.4.8.0.0.Fakes, Version=4.0.0.0, Culture=neutral, PublicKeyToken=0ae41878053f6703' targets a different processor.	DenaliCommandParser.TestData	C:\TFS\Denali\Code\Dev\DenaliServerSideComponents\DenaliCommandParser.TestData\vbc	1	Active
Error	BC42372	Referenced assembly 'mscorlib.4.8.0.0.Fakes, Version=4.0.0.0, Culture=neutral, PublicKeyToken=0ae41878053f6703' targets a different processor.	NETDLL.Test	C:\TFS\Denali\Code\Dev\DenaliServerSideComponents\NETDLL.Test\vbc	1	Active
Error	BC42372	Referenced assembly 'TestableIO.System.IO.Abstractions.TestingHelpers.21.0.0.0.Fakes, Version=22.0.16.0, Culture=neutral, PublicKeyToken=0ae41878053f6703' targets a different processor.	NETDLL.Test	C:\TFS\Denali\Code\Dev\DenaliServerSideComponents\NETDLL.Test\vbc	1	Active
Error	BC42372	Referenced assembly 'System.4.8.0.0.Fakes, Version=4.0.0.0, Culture=neutral, PublicKeyToken=0ae41878053f6703' targets a different processor.	NETDLL.Test	C:\TFS\Denali\Code\Dev\DenaliServerSideComponents\NETDLL.Test\vbc	1	Active
Error	BC42372	Referenced assembly 'System.Windows.Forms.4.8.0.0.Fakes, Version=4.0.0.0, Culture=neutral, PublicKeyToken=0ae41878053f6703' targets a different processor.	NETDLL.Test	C:\TFS\Denali\Code\Dev\DenaliServerSideComponents\NETDLL.Test\vbc	1	Active
Error	CS8012	Referenced assembly 'System.4.8.0.0.Fakes, Version=4.0.0.0, Culture=neutral, PublicKeyToken=0ae41878053f6703' targets a different processor.	CMCommon.Test	C:\TFS\Denali\Code\Dev\_VCSDENALICLIENT\CMCommon.Test\CSC	1	Active
Error	CS8012	Referenced assembly 'System.Windows.Forms.4.8.0.0.Fakes, Version=4.0.0.0, Culture=neutral, PublicKeyToken=0ae41878053f6703' targets a different processor.	CMCommon.Test	C:\TFS\Denali\Code\Dev\_VCSDENALICLIENT\CMCommon.Test\CSC	1	Active
Error	CS8012	Referenced assembly 'mscorlib.4.8.0.0.Fakes, Version=4.0.0.0, Culture=neutral, PublicKeyToken=0ae41878053f6703' targets a different processor.	CMCommon.Test	C:\TFS\Denali\Code\Dev\_VCSDENALICLIENT\CMCommon.Test\CSC	1	Active
Error	BC2017	could not find library 'C:\TFS\Denali\Code\Dev\Build\Debugx64\DenaliCommandParser.TestData.dll'	DenaliCommandParser.APXMLDAT.Test	C:\TFS\Denali\Code\Dev\DenaliServerSideComponents\DenaliCommandParser.APXMLDAT.Test\vbc	1	Active
Error	BC2017	could not find library 'C:\TFS\Denali\Code\Dev\Build\Debugx64\DenaliCommandParser.TestData.dll'	DenaliCommandParser.POXMLDAT.Test	C:\TFS\Denali\Code\Dev\DenaliServerSideComponents\DenaliCommandParser.POXMLDAT.Test\vbc	1	Active
Error	BC2017	could not find library 'C:\TFS\Denali\Code\Dev\Build\Debugx64\DenaliCommandParser.TestData.dll'	DenaliCommandParser.PRXMLDAT.Test	C:\TFS\Denali\Code\Dev\DenaliServerSideComponents\DenaliCommandParser.PRXMLDAT.Test\vbc	1	Active
Error	BC2017	could not find library 'C:\TFS\Denali\Code\Dev\Build\Debugx64\DenaliCommandParser.TestData.dll'	DenaliCommandParser.SAXMLDAT.Test	C:\TFS\Denali\Code\Dev\DenaliServerSideComponents\DenaliCommandParser.SAXMLDAT.Test\vbc	1	Active
Error	CS8012	Referenced assembly 'mscorlib.4.8.0.0.Fakes, Version=4.0.0.0, Culture=neutral, PublicKeyToken=0ae41878053f6703' targets a different processor.	CMSDenaliAPI.Test	C:\TFS\Denali\Code\Dev\_VCSDENALICLIENT\CMSDenaliAPI.Test\CSC	1	Active
Error	CS8012	Referenced assembly 'System.Windows.Forms.4.8.0.0.Fakes, Version=4.0.0.0, Culture=neutral, PublicKeyToken=0ae41878053f6703' targets a different processor.	CMSDenaliAPI.Test	C:\TFS\Denali\Code\Dev\_VCSDENALICLIENT\CMSDenaliAPI.Test\CSC	1	Active
Error	CS8012	Referenced assembly 'System.4.8.0.0.Fakes, Version=4.0.0.0, Culture=neutral, PublicKeyToken=0ae41878053f6703' targets a different processor.	CMSDenaliAPI.Test	C:\TFS\Denali\Code\Dev\_VCSDENALICLIENT\CMSDenaliAPI.Test\CSC	1	Active
Error	CS8012	Referenced assembly 'mscorlib.4.8.0.0.Fakes, Version=4.0.0.0, Culture=neutral, PublicKeyToken=0ae41878053f6703' targets a different processor.	CMSDenaliCommon.Test	C:\TFS\Denali\Code\Dev\CMSUI\CMSUIInterface\CMSDenaliCommon.Test\CSC	1	Active
Error	CS8012	Referenced assembly 'System.Windows.Forms.4.8.0.0.Fakes, Version=4.0.0.0, Culture=neutral, PublicKeyToken=0ae41878053f6703' targets a different processor.	CMSPRForms.Test	C:\TFS\Denali\Code\Dev\_VCSDENALICLIENT\CMSPRForms.Test\CSC	1	Active
Error	CS8012	Referenced assembly 'System.4.8.0.0.Fakes, Version=4.0.0.0, Culture=neutral, PublicKeyToken=0ae41878053f6703' targets a different processor.	CMSPRForms.Test	C:\TFS\Denali\Code\Dev\_VCSDENALICLIENT\CMSPRForms.Test\CSC	1	Active
Error	BC2017	could not find library 'C:\TFS\Denali\Code\Dev\Build\Debugx64\DenaliCommandParser.TestData.dll'	CMSUtil.Test	C:\TFS\Denali\Code\Dev\ACTIVATION\CMSUtil.Test\vbc	1	Active
Error	BC2017	could not find library 'C:\TFS\Denali\Code\Dev\Build\Debugx64\DenaliCommandParser.APXMLDAT.Test.dll'	DenaliCommandParser.ARXMLDAT.Test	C:\TFS\Denali\Code\Dev\DenaliServerSideComponents\DenaliCommandParser.ARXMLDAT.Test\vbc	1	Active
Error	BC2017	could not find library 'C:\TFS\Denali\Code\Dev\Build\Debugx64\DenaliCommandParser.TestData.dll'	DenaliCommandParser.ARXMLDAT.Test	C:\TFS\Denali\Code\Dev\DenaliServerSideComponents\DenaliCommandParser.ARXMLDAT.Test\vbc	1	Active
Error	BC2017	could not find library 'C:\TFS\Denali\Code\Dev\Build\Debugx64\DenaliCommandParser.TestData.dll'	DenaliCommandParser.GLXMLDAT.Reports.Test	C:\TFS\Denali\Code\Dev\DenaliServerSideComponents\DenaliCommandParser.GLXMLDAT.Reports.Test\vbc	1	Active
Error	BC2017	could not find library 'C:\TFS\Denali\Code\Dev\Build\Debugx64\DenaliCommandParser.TestData.dll'	DenaliCommandParser.GLXMLDAT.Test	C:\TFS\Denali\Code\Dev\DenaliServerSideComponents\DenaliCommandParser.GLXMLDAT.Test\vbc	1	Active
Error	BC2017	could not find library 'C:\TFS\Denali\Code\Dev\Build\Debugx64\DenaliCommandParser.TestData.dll'	DenaliCommandParser.JCXMLDAT.Test	C:\TFS\Denali\Code\Dev\DenaliServerSideComponents\DenaliCommandParser.JCXMLDAT.Test\vbc	1	Active
Error	BC2017	could not find library 'C:\TFS\Denali\Code\Dev\Build\Debugx64\DenaliCommandParser.POXMLDAT.Test.dll'	DenaliCommandParser.POXMLDAT.Posting.Act.Test	C:\TFS\Denali\Code\Dev\DenaliServerSideComponents\DenaliCommandParser.POXMLDAT.Posting.Act.Test\vbc	1	Active
Error	BC2017	could not find library 'C:\TFS\Denali\Code\Dev\Build\Debugx64\DenaliCommandParser.TestData.dll'	DenaliCommandParser.POXMLDAT.Posting.Act.Test	C:\TFS\Denali\Code\Dev\DenaliServerSideComponents\DenaliCommandParser.POXMLDAT.Posting.Act.Test\vbc	1	Active
Error	BC2017	could not find library 'C:\TFS\Denali\Code\Dev\Build\Debugx64\DenaliCommandParser.POXMLDAT.Test.dll'	DenaliCommandParser.POXMLDAT.Posting.Fund.Test	C:\TFS\Denali\Code\Dev\DenaliServerSideComponents\DenaliCommandParser.POXMLDAT.Posting.Fund.Test\vbc	1	Active
Error	BC2017	could not find library 'C:\TFS\Denali\Code\Dev\Build\Debugx64\DenaliCommandParser.PRXMLDAT.Test.dll'	DenaliCommandParser.PRXMLDAT.Posting.Act.Test	C:\TFS\Denali\Code\Dev\DenaliServerSideComponents\DenaliCommandParser.PRXMLDAT.Posting.Act.Test\vbc	1	Active
Error	BC2017	could not find library 'C:\TFS\Denali\Code\Dev\Build\Debugx64\DenaliCommandParser.TestData.dll'	DenaliCommandParser.PRXMLDAT.Posting.Act.Test	C:\TFS\Denali\Code\Dev\DenaliServerSideComponents\DenaliCommandParser.PRXMLDAT.Posting.Act.Test\vbc	1	Active
Error	BC2017	could not find library 'C:\TFS\Denali\Code\Dev\Build\Debugx64\DenaliCommandParser.PRXMLDAT.Test.dll'	DenaliCommandParser.PRXMLDAT.Posting.Fund.Test	C:\TFS\Denali\Code\Dev\DenaliServerSideComponents\DenaliCommandParser.PRXMLDAT.Posting.Fund.Test\vbc	1	Active
Error	BC2017	could not find library 'C:\TFS\Denali\Code\Dev\Build\Debugx64\DenaliCommandParser.TestData.dll'	DenaliCommandParser.PRXMLDAT.Posting.Fund.Test	C:\TFS\Denali\Code\Dev\DenaliServerSideComponents\DenaliCommandParser.PRXMLDAT.Posting.Fund.Test\vbc	1	Active
Error	BC2017	could not find library 'C:\TFS\Denali\Code\Dev\Build\Debugx64\DenaliCommandParser.SAXMLDAT.Test.dll'	DenaliCommandParser.SAXMLDAT.Posting.Act.Test	C:\TFS\Denali\Code\Dev\DenaliServerSideComponents\DenaliCommandParser.SAXMLDAT.Posting.Act.Test\vbc	1	Active
Error	BC2017	could not find library 'C:\TFS\Denali\Code\Dev\Build\Debugx64\DenaliCommandParser.TestData.dll'	DenaliCommandParser.SAXMLDAT.Posting.Act.Test	C:\TFS\Denali\Code\Dev\DenaliServerSideComponents\DenaliCommandParser.SAXMLDAT.Posting.Act.Test\vbc	1	Active
Error	BC2017	could not find library 'C:\TFS\Denali\Code\Dev\Build\Debugx64\DenaliCommandParser.SAXMLDAT.Test.dll'	DenaliCommandParser.SAXMLDAT.Posting.Fund.Test	C:\TFS\Denali\Code\Dev\DenaliServerSideComponents\DenaliCommandParser.SAXMLDAT.Posting.Fund.Test\vbc	1	Active
Error	BC2017	could not find library 'C:\TFS\Denali\Code\Dev\Build\Debugx64\DenaliCommandParser.TestData.dll'	DenaliCommandParser.SAXMLDAT.Posting.Fund.Test	C:\TFS\Denali\Code\Dev\DenaliServerSideComponents\DenaliCommandParser.SAXMLDAT.Posting.Fund.Test\vbc	1	Active
Error	BC2017	could not find library 'C:\TFS\Denali\Code\Dev\Build\Debugx64\DenaliCommandParser.APXMLDAT.Test.dll'	DenaliCommandParser.Test	C:\TFS\Denali\Code\Dev\DenaliServerSideComponents\DenaliCommandParser.Test\vbc	1	Active
